ChannelTitle=	Vol. Pulse	Blood Flow	ECG	
0.88	-0.34	17.4	-9.6	
0.885	-0.26	15	-13.7	
0.89	-0.19	12.5	35.4	
0.895	-0.13	9.6	-2	
0.9	-0.09	6.7	-37.3	
0.905	-0.06	4.2	10	
0.91	-0.05	2.1	7	
0.915	-0.04	0.2	-42	
0.92	-0.04	-1.2	-8.8	
0.925	-0.05	-2.3	22.2	
0.93	-0.07	-3.3	-31.5	
0.935	-0.09	-4.1	-38.1	
0.94	-0.11	-4.5	15.4	
0.945	-0.13	-5.1	-14.1	
0.95	-0.16	-5.8	-56.8	
0.955	-0.19	-6.3	2	
0.96	-0.22	-6.8	12.7	
0.965	-0.25	-7.2	-48.2	
0.97	-0.29	-7.3	-19.9	
0.975	-0.32	-7.1	11.7	
0.98	-0.36	-7.2	-37.1	
0.985	-0.39	-7.1	-31.1	
0.99	-0.42	-7	19.5	
0.995	-0.46	-7.1	-7.8	
1	-0.49	-7.4	-37.3	
1.005	-0.53	-7.5	11.9	
1.01	-0.56	-7.6	7.2	
1.015	-0.6	-7.8	-49	
1.02	-0.63	-7.8	1.1	
1.025	-0.67	-7.8	41.1	
1.03	-0.71	-7.8	-23.5	
1.035	-0.74	-7.8	-24.6	
1.04	-0.78	-7.8	24.9	
1.045	-0.81	-8.1	-7.7	
1.05	-0.85	-8.4	-32.1	
1.055	-0.89	-8.2	17.9	
1.06	-0.92	-7.9	17.1	
1.065	-0.96	-7.3	-29.1	
1.07	-0.99	-6.2	-1.4	
1.075	-1.01	-5	21.5	
1.08	-1.03	-3.9	-21.9	
1.085	-1.04	-2.9	-16.7	
1.09	-1.05	-2	28.1	
1.095	-1.05	-1.3	6.3	
1.1	-1.05	-0.9	-18.7	
1.105	-1.05	-0.5	17	
1.11	-1.05	-0.3	17.4	
1.115	-1.04	-0.3	-18.5	
1.12	-1.04	0	3.9	
1.125	-1.03	0.5	26.2	
1.13	-1.02	1.1	-16.4	
1.135	-1.01	1.6	-11.1	
1.14	-1	2.2	31.3	
1.145	-0.98	2.3	0.4	
1.15	-0.97	2.1	-22.3	
1.155	-0.95	1.9	19.9	
1.16	-0.94	1.5	19.5	
1.165	-0.93	1	-21.4	
1.17	-0.92	0.7	4.9	
1.175	-0.92	0.7	26.9	
1.18	-0.91	0.7	-14.5	
1.185	-0.9	0.8	-9.1	
1.19	-0.89	0.9	27	
1.195	-0.88	0.7	0.1	
1.2	-0.88	0.1	-21.5	
1.205	-0.87	-0.4	7.7	
1.21	-0.87	-0.8	6.6	
1.215	-0.87	-1.3	-10.5	
1.22	-0.88	-1.5	30.7	
1.225	-0.88	-1.6	60.4	
1.23	-0.89	-1.8	10	
1.235	-0.89	-1.9	-7.6	
1.24	-0.9	-2	31.4	
1.245	-0.9	-2.4	25.9	
1.25	-0.91	-3.1	29.9	
1.255	-0.93	-3.7	74.1	
1.26	-0.94	-4.1	61.6	
1.265	-0.96	-4.3	25.2	
1.27	-0.97	-4	55.2	
1.275	-0.99	-3.5	73.1	
1.28	-1	-3.3	41.6	
1.285	-1.01	-3.1	40.8	
1.29	-1.02	-3.1	70.2	
1.295	-1.03	-3.2	53.3	
1.3	-1.04	-3.2	14.8	
1.305	-1.06	-2.9	32.9	
1.31	-1.06	-2.8	25.5	
1.315	-1.07	-3.1	-19	
1.32	-1.09	-3.3	4.4	
1.325	-1.1	-3.3	34.7	
1.33	-1.11	-3.4	-6.9	
1.335	-1.12	-3.3	-13.6	
1.34	-1.13	-3.1	24.1	
1.345	-1.14	-3.2	-2.2	
1.35	-1.15	-3.4	-22.7	
1.355	-1.16	-3.2	14.3	
1.36	-1.18	-3.1	5.1	
1.365	-1.19	-3.1	-36.5	
1.37	-1.2	-3	-5.1	
1.375	-1.2	-3	17.5	
1.38	-1.21	-3	-24.8	
1.385	-1.22	-2.9	-21.9	
1.39	-1.23	-2.6	1	
1.395	-1.24	-2.3	-28.2	
1.4	-1.24	-2.1	-14.5	
1.405	-1.25	-2	67.1	
1.41	-1.25	-1.8	134.8	
1.415	-1.25	-1.5	223.2	
1.42	-1.25	-1.2	253.5	
1.425	-1.25	-1.2	81.8	
1.43	-1.26	-1.7	-24.1	
1.435	-1.26	-2	-1.7	
1.44	-1.26	-1.9	-184.1	
1.445	-1.27	-1.7	-439.9	
1.45	-1.27	-1.5	-422.9	
1.455	-1.27	-1.1	-221.8	
1.46	-1.27	-0.9	-103.8	
1.465	-1.27	-0.9	-94.9	
1.47	-1.27	-0.8	-68.6	
1.475	-1.26	-0.7	-24.8	
1.48	-1.26	-0.9	-35.4	
1.485	-1.26	-1.1	-23.3	
1.49	-1.26	-1.1	14.4	
1.495	-1.26	-1.2	-0.2	
1.5	-1.26	-1.5	-12.2	
1.505	-1.26	-1.6	18.6	
1.51	-1.27	-1.8	20.3	
1.515	-1.27	-1.9	-9.7	
1.52	-1.27	-1.8	13.1	
1.525	-1.28	-1.6	36.8	
1.53	-1.28	-1.6	7	
1.535	-1.28	-1.6	3.4	
1.54	-1.28	-1.5	29.1	
1.545	-1.29	-1.7	19	
1.55	-1.29	-2.1	9.3	
1.555	-1.29	-2.3	35.9	
1.56	-1.3	-2.4	31.7	
1.565	-1.31	-2.5	6.7	
1.57	-1.31	-2.4	25.3	
1.575	-1.32	-2.1	42.5	
1.58	-1.32	-2.2	19.8	
1.585	-1.33	-2.3	17.3	
1.59	-1.33	-2.2	46.1	
1.595	-1.34	-2.2	38.1	
1.6	-1.34	-2.4	27.5	
1.605	-1.35	-2.6	52	
1.61	-1.36	-2.6	53.3	
1.615	-1.36	-2.4	30.5	
1.62	-1.37	-1.9	46	
1.625	-1.37	-1.4	71.9	
1.63	-1.37	-1.1	50.5	
1.635	-1.37	-0.7	45.9	
1.64	-1.36	0.1	80.7	
1.645	-1.36	1.2	67.4	
1.65	-1.34	2.9	41.5	
1.655	-1.31	5.4	65.5	
1.66	-1.27	8.2	60.7	
1.665	-1.22	11.1	29.7	
1.67	-1.15	14.1	43.5	
1.675	-1.07	17.1	48.9	
1.68	-0.97	19.3	12.7	
1.685	-0.87	20.6	0.6	
1.69	-0.76	21.2	9.6	
1.695	-0.65	21	-17.2	
1.7	-0.54	20.1	-50.5	
1.705	-0.44	19.1	-31.5	
1.71	-0.35	17.8	-22.3	
1.715	-0.26	16.1	-50.3	
1.72	-0.19	14.3	-46.9	
1.725	-0.12	12.1	-36.7	
1.73	-0.06	9.3	-59.8	
1.735	-0.03	6.6	-61.8	
1.74	0	4.2	-40.4	
1.745	0.02	2	-57.7	
1.75	0.02	0	-71.3	
1.755	0.02	-1.4	-39.8	
1.76	0.01	-2.5	-42.1	
1.765	-0.01	-3.6	-78.5	
1.77	-0.03	-4.5	-66.2	
1.775	-0.05	-5.5	-48.2	
1.78	-0.08	-6.7	-71.9	
1.785	-0.12	-7.8	-69.6	
1.79	-0.16	-8.4	-43.6	
1.795	-0.2	-8.6	-58.3	
1.8	-0.24	-8.6	-78	
1.805	-0.28	-8.3	-58.9	
1.81	-0.32	-8.2	-56.4	
1.815	-0.36	-8.2	-78.3	
1.82	-0.4	-8	-66.6	
1.825	-0.44	-7.7	-48.9	
1.83	-0.48	-7.7	-62.5	
1.835	-0.51	-7.8	-67.4	
1.84	-0.55	-7.8	-48	
1.845	-0.58	-7.9	-60.8	
1.85	-0.62	-8.1	-74.5	
1.855	-0.66	-8.3	-48.3	
1.86	-0.7	-8.7	-55.4	
1.865	-0.74	-9.2	-79	
1.87	-0.78	-9.4	-64.7	
1.875	-0.83	-9.5	-53.5	
1.88	-0.87	-9.7	-72.4	
1.885	-0.92	-9.5	-72.9	
1.89	-0.96	-8.8	-55.4	
1.895	-1	-8.1	-68.5	
1.9	-1.03	-7.3	-78.8	
1.905	-1.06	-6.5	-61.9	
1.91	-1.08	-5.7	-62.1	
1.915	-1.11	-5	-82.3	
1.92	-1.12	-4	-78.8	
1.925	-1.14	-3.1	-60.6	
1.93	-1.14	-2.6	-71.3	
1.935	-1.15	-2.2	-79.6	
1.94	-1.16	-1.5	-62.9	
1.945	-1.16	-0.9	-64.1	
1.95	-1.15	-0.6	-73.3	
1.955	-1.15	-0.3	-71.3	
1.96	-1.15	-0.2	-79.6	
1.965	-1.14	-0.4	-92.8	
1.97	-1.14	-0.5	-84.3	
1.975	-1.14	-0.4	-74.7	
1.98	-1.13	-0.5	-93.1	
1.985	-1.13	-0.3	-100.8	
1.99	-1.13	0.2	-81.8	
1.995	-1.12	0.4	-89.5	
2	-1.11	0.4	-103.9	
2.005	-1.1	0.4	-84.8	
2.01	-1.1	0	-81.3	
2.015	-1.09	-0.6	-106.6	
2.02	-1.09	-1.1	-83.8	
2.025	-1.1	-1.5	-43.8	
2.03	-1.1	-1.9	-64.1	
2.035	-1.1	-2.1	-85.5	
2.04	-1.11	-2	-72.7	
2.045	-1.11	-2.3	-76.3	
2.05	-1.12	-2.8	-73.1	
2.055	-1.13	-3.2	-36.5	
2.06	-1.14	-3.6	-37.5	
2.065	-1.16	-4	-59.6	
2.07	-1.17	-4.1	-45.9	
2.075	-1.19	-4.2	-38	
2.08	-1.2	-4.5	-53.5	
2.085	-1.22	-4.9	-45	
2.09	-1.24	-5.2	-24.2	
2.095	-1.26	-5.4	-43.1	
2.1	-1.28	-5.5	-65.7	
2.105	-1.3	-5.5	-57.9	
2.11	-1.33	-5.5	-62.4	
2.115	-1.35	-5.6	-89.4	
2.12	-1.37	-5.4	-94.5	
2.125	-1.39	-5	-89.8	
2.13	-1.41	-5	-103.4	
2.135	-1.43	-4.9	-101.4	
2.14	-1.44	-4.7	-92.5	
2.145	-1.46	-4.9	-104	
2.15	-1.48	-5.2	-106.1	
2.155	-1.5	-5.2	-95.5	
2.16	-1.52	-5	-96.7	
2.165	-1.53	-4.7	-115.1	
2.17	-1.55	-4.3	-113.9	
2.175	-1.56	-4	-100.8	
2.18	-1.58	-4	-118.3	
2.185	-1.59	-4.1	-117.5	
2.19	-1.6	-4.2	-112.9	
2.195	-1.62	-4.4	-140.4	
2.2	-1.63	-4.4	-135.8	
2.205	-1.65	-4.2	-86.8	
2.21	-1.66	-4.1	-29.3	
2.215	-1.67	-4.2	59.3	
2.22	-1.69	-4	152.1	
2.225	-1.7	-3.8	59.5	
2.23	-1.71	-3.8	-135.7	
2.235	-1.72	-4	-123.2	
2.24	-1.73	-4	-147.9	
2.245	-1.74	-4.1	-387.5	
2.25	-1.76	-4	-493.8	
2.255	-1.77	-3.7	-372	
2.26	-1.78	-3.3	-240.6	
2.265	-1.79	-3.2	-201.7	
2.27	-1.79	-3	-179.7	
2.275	-1.8	-2.8	-139.7	
2.28	-1.8	-2.7	-119.2	
2.285	-1.81	-2.7	-114.1	
2.29	-1.81	-2.6	-100.9	
2.295	-1.82	-2.8	-93.6	
2.3	-1.83	-2.9	-93.5	
2.305	-1.83	-2.7	-85.4	
2.31	-1.84	-2.5	-78.6	
2.315	-1.84	-2.4	-79	
2.32	-1.84	-2.2	-66.8	
2.325	-1.84	-2	-55.2	
2.33	-1.85	-2.2	-68.9	
2.335	-1.85	-2.7	-70.6	
2.34	-1.86	-3.1	-53.6	
2.345	-1.86	-3.6	-55.1	
2.35	-1.88	-3.8	-57	
2.355	-1.89	-3.6	-40.6	
2.36	-1.89	-3.2	-43	
2.365	-1.9	-3	-61.1	
2.37	-1.91	-2.9	-46	
2.375	-1.91	-2.7	-24.9	
2.38	-1.92	-2.6	-42	
2.385	-1.92	-2.5	-52.5	
2.39	-1.92	-2.5	-31.6	
2.395	-1.93	-2.8	-23.6	
2.4	-1.93	-2.9	-26.8	
2.405	-1.94	-2.7	-14.8	
2.41	-1.94	-2.4	-6.2	
2.415	-1.95	-2.2	-11.5	
2.42	-1.95	-1.9	-6.2	
2.425	-1.95	-1.4	2.1	
2.43	-1.94	-1.4	-1.9	
2.435	-1.94	-1.5	5.6	
2.44	-1.94	-1	23.5	
2.445	-1.93	0.4	24.3	
2.45	-1.92	2.4	20.5	
2.455	-1.89	5	29.6	
2.46	-1.85	7.8	28.7	
2.465	-1.79	10.5	10.8	
2.47	-1.73	13.3	7.8	
2.475	-1.65	15.9	9.9	
2.48	-1.55	17.9	-9.6	
2.485	-1.45	19.5	-25.1	
2.49	-1.35	20.6	-23.9	
2.495	-1.24	20.9	-31.9	
2.5	-1.13	20.3	-47.6	
2.505	-1.02	19.3	-37.8	
2.51	-0.93	17.8	-36.8	
2.515	-0.84	15.8	-61.6	
2.52	-0.76	13.6	-64.7	
2.525	-0.7	11.2	-46.1	
2.53	-0.64	8.6	-43.6	
2.535	-0.6	6.3	-53.3	
2.54	-0.57	4.5	-46.7	
2.545	-0.55	2.6	-50.1	
2.55	-0.54	0.7	-62	
2.555	-0.54	-0.8	-46.1	
2.56	-0.55	-2.2	-34	
2.565	-0.56	-3.5	-47.2	
2.57	-0.58	-4.6	-45.2	
2.575	-0.6	-5.4	-33.8	
2.58	-0.62	-6.1	-41.1	
2.585	-0.65	-6.6	-41.5	
2.59	-0.68	-6.9	-30.3	
2.595	-0.72	-7.3	-34.8	
2.6	-0.75	-7.7	-42.3	
2.605	-0.79	-7.5	-31.7	
2.61	-0.82	-7.1	-26.5	
2.615	-0.85	-6.9	-35.8	
2.62	-0.88	-6.7	-28.8	
2.625	-0.91	-6.6	-13.5	
2.63	-0.94	-6.7	-27.2	
2.635	-0.97	-6.7	-30.7	
2.64	-1	-6.4	-16.5	
2.645	-1.02	-6.1	-19.4	
2.65	-1.05	-6.2	-15.8	
2.655	-1.07	-6.5	-6	
2.66	-1.1	-7.1	-10.2	
2.665	-1.14	-7.9	-19.8	
2.67	-1.17	-8.4	-14.7	
2.675	-1.21	-8.5	-5.9	
2.68	-1.25	-8.7	-7.9	
2.685	-1.28	-8.7	-3.1	
2.69	-1.32	-8.3	3.9	
2.695	-1.35	-7.7	-2.8	
2.7	-1.39	-6.9	-7.4	
2.705	-1.41	-6	1.7	
2.71	-1.43	-5.4	3.3	
2.715	-1.45	-5.2	-1.5	
2.72	-1.47	-5	11.6	
2.725	-1.49	-4.5	17.8	
2.73	-1.5	-3.9	1.2	
2.735	-1.51	-3.3	-3.3	
2.74	-1.52	-2.5	16.9	
2.745	-1.53	-1.8	17	
2.75	-1.53	-1.5	-1.3	
2.755	-1.53	-1.1	5.1	
2.76	-1.52	-0.8	13.1	
2.765	-1.52	-0.6	9	
2.77	-1.51	-0.4	7.8	
2.775	-1.51	-0.3	16.2	
2.78	-1.5	-0.6	21.1	
2.785	-1.5	-0.5	13.6	
2.79	-1.5	0	17.1	
2.795	-1.49	0.4	17	
2.8	-1.48	0.4	8	
2.805	-1.47	0.3	15.1	
2.81	-1.46	0	20.7	
2.815	-1.46	-0.5	13.5	
2.82	-1.45	-0.8	15.4	
2.825	-1.45	-0.9	22.2	
2.83	-1.45	-1.1	19.4	
2.835	-1.45	-1.1	18.3	
2.84	-1.45	-1.1	18.7	
2.845	-1.45	-1.3	26.1	
2.85	-1.45	-1.8	41.3	
2.855	-1.45	-1.9	54.4	
2.86	-1.45	-2	51	
2.865	-1.46	-2.5	30.3	
2.87	-1.47	-3.1	35.1	
2.875	-1.48	-3.6	58.1	
2.88	-1.49	-3.9	78.8	
2.885	-1.5	-3.9	94	
2.89	-1.51	-3.7	92.6	
2.895	-1.52	-3.8	82.3	
2.9	-1.54	-4.2	80.4	
2.905	-1.55	-4.4	91.6	
2.91	-1.57	-4.4	91.6	
2.915	-1.58	-4.4	84.6	
2.92	-1.6	-4.3	90.3	
2.925	-1.61	-4.1	89.3	
2.93	-1.62	-4.1	74.1	
2.935	-1.64	-4.1	66.5	
2.94	-1.65	-3.9	68.2	
2.945	-1.66	-3.9	50.2	
2.95	-1.67	-3.9	30.9	
2.955	-1.69	-3.9	44.6	
2.96	-1.7	-3.8	52.9	
2.965	-1.71	-3.8	42.8	
2.97	-1.72	-3.6	45.5	
2.975	-1.73	-3.5	46.6	
2.98	-1.74	-3.7	39.8	
2.985	-1.75	-3.8	40.7	
2.99	-1.76	-3.7	40.5	
2.995	-1.77	-3.8	36.1	
3	-1.78	-4.1	36.4	
3.005	-1.79	-4	48.4	
3.01	-1.8	-3.8	49.7	
3.015	-1.81	-3.6	28.5	
3.02	-1.82	-3.3	15.4	
3.025	-1.83	-3.1	20.6	
3.03	-1.84	-3.2	38.3	
3.035	-1.85	-3.3	69.3	
3.04	-1.85	-3.3	157.6	
3.045	-1.86	-3.2	284.5	
3.05	-1.87	-3.1	303.2	
3.055	-1.87	-2.7	146	
3.06	-1.88	-2.3	41.9	
3.065	-1.88	-2.1	77.2	
3.07	-1.88	-2	-61.9	
3.075	-1.88	-2.1	-309.7	
3.08	-1.89	-2.6	-316.7	
3.085	-1.89	-2.9	-156.3	
3.09	-1.9	-2.9	-55.5	
3.095	-1.9	-2.7	-30.5	
3.1	-1.91	-2.3	-10.5	
3.105	-1.91	-1.9	31.7	
3.11	-1.91	-1.7	55	
3.115	-1.91	-2	52.3	
3.12	-1.91	-2.2	68.2	
3.125	-1.92	-2.2	78.8	
3.13	-1.92	-2.3	71.3	
3.135	-1.92	-2.1	72.6	
3.14	-1.92	-1.8	86.3	
3.145	-1.92	-1.7	88.8	
3.15	-1.92	-1.7	77.2	
3.155	-1.92	-1.7	91.6	
3.16	-1.92	-1.8	103.5	
3.165	-1.92	-2.3	90.9	
3.17	-1.92	-2.7	98.3	
3.175	-1.93	-2.8	110.3	
3.18	-1.93	-2.9	104.6	
3.185	-1.94	-2.8	102.5	
3.19	-1.94	-2.5	108.8	
3.195	-1.95	-2.5	109	
3.2	-1.95	-2.8	112.5	
3.205	-1.96	-2.7	123.2	
3.21	-1.96	-2.6	120.8	
3.215	-1.97	-2.7	118.8	
3.22	-1.97	-2.7	135.3	
3.225	-1.97	-2.5	148.3	
3.23	-1.98	-2.4	141.2	
3.235	-1.98	-2.3	139.3	
3.24	-1.98	-2.2	149.9	
3.245	-1.98	-2.3	150.2	
3.25	-1.99	-2.5	147.9	
3.255	-1.99	-2.3	161.5	
3.26	-1.99	-1.6	173.9	
3.265	-1.99	-0.5	163.6	
3.27	-1.98	1.3	164.6	
3.275	-1.96	3.7	179.9	
3.28	-1.92	6.2	180.1	
3.285	-1.87	9	180.8	
3.29	-1.81	12.1	185	
3.295	-1.74	15	178.8	
3.3	-1.65	17.4	168.6	
3.305	-1.55	19.8	162.9	
3.31	-1.44	21.7	155.4	
3.315	-1.32	22.8	138.7	
3.32	-1.2	23.3	129.1	
3.325	-1.08	23	126.4	
3.33	-0.96	21.6	110.7	
3.335	-0.85	19.7	103.7	
3.34	-0.76	17.6	113.1	
3.345	-0.67	15.1	107.4	
3.35	-0.6	12.5	88.8	
3.355	-0.54	10.2	87.1	
3.36	-0.49	8.3	94.2	
3.365	-0.45	6.4	93.2	
3.37	-0.42	4.8	92.5	
3.375	-0.4	3.2	99.1	
3.38	-0.39	1.5	104.8	
3.385	-0.38	0.1	101.4	
3.39	-0.38	-0.9	104.7	
3.395	-0.39	-1.9	103.8	
3.4	-0.4	-3.1	100.4	
3.405	-0.41	-4.4	103.7	
3.41	-0.44	-5.8	98.9	
3.415	-0.47	-6.6	94.4	
3.42	-0.5	-6.8	98.4	
3.425	-0.53	-6.9	109.4	
3.43	-0.56	-6.9	105.9	
3.435	-0.59	-6.6	100.5	
3.44	-0.62	-5.8	111.5	
3.445	-0.65	-5.1	103.7	
3.45	-0.67	-4.9	92.3	
3.455	-0.69	-4.9	102.2	
3.46	-0.71	-5.1	105.1	
3.465	-0.73	-5.2	94.7	
3.47	-0.76	-5.2	96.3	
3.475	-0.78	-5.1	103.6	
3.48	-0.8	-5.4	103.6	
3.485	-0.82	-5.6	108.4	
3.49	-0.85	-5.8	110.9	
3.495	-0.88	-6.2	103.3	
3.5	-0.9	-6.8	98.4	
3.505	-0.93	-7.2	109.3	
3.51	-0.97	-7.6	112.6	
3.515	-1	-7.9	105.5	
3.52	-1.04	-7.6	113	
3.525	-1.07	-7	112	
3.53	-1.1	-6.3	97.5	
3.535	-1.12	-5.7	99.3	
3.54	-1.14	-5.1	118.1	
3.545	-1.16	-4.5	113.8	
3.55	-1.18	-4	99.2	
3.555	-1.19	-3.3	108.3	
3.56	-1.2	-2.9	117.7	
3.565	-1.21	-2.6	117.6	
3.57	-1.21	-2.1	110.5	
3.575	-1.22	-1.6	110.6	
3.58	-1.22	-1.3	111.9	
3.585	-1.22	-1.1	115	
3.59	-1.22	-0.7	123.6	
3.595	-1.22	-0.4	115.5	
3.6	-1.21	-0.2	105.7	
3.605	-1.21	0.1	109.9	
3.61	-1.2	0.3	118.8	
3.615	-1.19	0.5	119.4	
3.62	-1.18	0.7	116.9	
3.625	-1.17	0.8	117	
3.63	-1.17	0.5	109.8	
3.635	-1.16	0.2	104.9	
3.64	-1.15	0.3	108.3	
3.645	-1.15	0.3	110.1	
3.65	-1.14	-0.1	106.9	
3.655	-1.14	-0.4	105.5	
3.66	-1.13	-0.7	107.3	
3.665	-1.13	-0.9	96.3	
3.67	-1.13	-0.9	92.5	
3.675	-1.13	-0.9	104.9	
3.68	-1.13	-1.3	104.8	
3.685	-1.13	-1.7	104.8	
3.69	-1.14	-2	114.4	
3.695	-1.14	-2.3	110.4	
3.7	-1.15	-2.6	102.3	
